S³owo;D³ugoœæ
wolsztyna;9
traktowa³;9
polskiego;9
wiêkszoœæ;9
maj¹tkach;9
œwiatowej;9
to¿samoœæ;9
osobistym;9
finansowe;9
pos³uchaj;9
wysokiego;9
twierdziæ;9
przekazane;10
przenios³a;10
operacyjne;10
zdobywaj¹c;10
naczelnika;10
znacz¹cych;10
pocz¹tkowo;10
stanowiska;10
zorientuj¹;10
intendenta;10
generowane;10
lojalnoœci;10
desperacki;10
wartownika;10
informacje;10
zdecydowa³;10
dostarcza³;10
porzucenie;10
carewiczem;10
archiwalny;10
zachodnich;10
amerykanom;10
ujawnienie;10
zapomniany;10
mieszkanie;10
przyjmuj¹c;10
instytucji;10
precyzyjne;10
informacji;10
dzieciñstwa;11
superszpieg;11
publicznego;11
szczegó³owe;11
gospodarcze;11
urzêdniczej;11
przekazywa³;11
warszawskim;11
dramatyczny;11
infiltracji;11
wywiadowcz¹;11
goleniewski;11
zdemaskowaæ;11
szpiegostwa;11
dynamicznie;11
najbardziej;11
niemieckiej;11
wschodniego;11
szpiegostwo;11
spowodowa³o;11
informatorów;12
dzia³aj¹cych;12
politycznych;12
wielkopolsce;12
uciekinierów;12
radzieckiego;12
dzia³alnoœci;12
(elevenlabs);12
postawionego;12
doniesieniom;12
departamentu;12
ministerstwa;12
aresztowanie;12
prze³o¿onych;12
uniwersytecie;13
amerykañskich;13
zorganizowali;13
rozpoczynaj¹c;13
doœwiadczenie;13
b³yskawicznie;13
zamordowanego;13
zjednoczonych;13
przekroczeniu;13
dekonspiracji;13
wywiadowczych;13
archiwalnyonet;14
bezpieczeñstwa;14
goleniewskiego;14
zidentyfikowaæ;14
komunistycznych;15
najtajniejszych;15
najcenniejszych;15
przedstawicieli;15
podpu³kownikiem;15
dotychczasowego;15
odpowiedzialnego;16
ogólnokszta³c¹cego;18
publiczna/wikipedia;19
publiczna/wikipediadomena;25
